team_id,team_name,attempts,avoided_tackles,breakaway_yards,first_downs,fumbles,grades_offense,grades_pass_block,grades_run,rec_yards,receptions,routes,scramble_yards,targets,touchdowns,yards,yards_after_contact
246,TOLEDO,413,60,381,87,19,68.07000000000001,43.0,60.2,2336,200,1282,165,285,13,1624,1061
248,TROY,412,88,715,114,13,71.12727272727273,61.96,69.50909090909092,1318,103,729,122,152,17,2052,1392
249,TULANE,546,114,855,172,14,72.20769230769231,52.114285714285714,68.33076923076922,2516,174,1206,243,256,32,2888,1865
250,TULSA,425,69,575,97,16,67.84705882352942,73.38,64.95294117647059,2314,205,1567,185,333,11,1987,1347
252,UAB,357,81,447,104,21,65.31333333333333,54.725,61.29333333333333,1876,194,1261,237,270,9,1788,1123
255,UCF,486,135,1283,178,14,65.73636363636363,48.839999999999996,69.71818181818182,564,57,529,283,81,33,3198,1762
256,UCLA,301,49,240,65,12,65.15,43.2,63.589999999999996,1645,154,1370,336,212,4,1295,975
257,UCONN,495,81,1038,132,12,68.03333333333335,52.3,65.95555555555556,1193,88,755,90,151,23,2691,1723
130,UMASS,452,89,571,130,10,64.25714285714285,63.65,63.57857142857143,951,101,967,275,145,18,2161,1448
259,UNLV,588,166,1416,174,16,69.925,69.275,68.475,2056,153,1323,516,251,29,3635,2365
260,USC,351,68,684,115,11,70.27777777777777,34.13333333333333,71.95555555555556,1162,134,1027,20,182,20,1983,1117
219,USF,454,85,1093,126,12,66.67142857142856,55.31666666666666,66.98571428571428,1523,154,1087,218,223,34,2568,1439
266,UTAH,379,77,464,89,14,60.67142857142857,45.95,63.114285714285714,1230,106,842,197,163,7,1752,1098
267,UTAH ST,403,114,1148,120,7,67.76153846153846,60.339999999999996,67.7090909090909,2141,192,1483,233,277,22,2517,1547
262,UTEP,412,81,240,93,13,60.721428571428575,68.46666666666667,60.91428571428571,2032,183,1489,267,275,9,1579,1156
263,UTSA,463,91,730,103,14,66.38666666666667,46.86666666666667,65.44,2314,200,1602,448,304,21,2356,1282
275,VA TECH,458,127,971,127,19,66.45333333333333,35.68333333333333,69.08571428571429,1211,120,1054,258,190,28,2552,1760
271,VANDERBILT,459,94,353,118,10,68.02499999999999,65.43333333333334,66.75,1825,143,1152,276,211,18,1947,1405
273,VIRGINIA,387,77,377,109,9,64.57272727272726,41.15714285714286,67.39999999999999,720,77,711,347,108,14,1896,1101
289,W KENTUCKY,411,58,347,99,19,66.61666666666666,61.08,63.916666666666664,2733,234,1616,137,324,14,1703,1010
290,W MICHIGAN,459,85,1147,133,7,70.5,57.32000000000001,67.45833333333333,1360,121,893,54,175,28,2558,1600
285,W VIRGINIA,499,130,859,153,18,61.96923076923077,37.34,63.28461538461538,1215,108,1119,449,175,27,2692,1716
279,WAKE,400,75,337,108,11,70.425,44.65,63.2,1550,134,870,354,188,18,1825,1207
282,WASH STATE,434,119,797,136,7,68.56923076923077,70.78333333333333,68.23076923076923,2224,156,1291,414,240,28,2368,1575
281,WASHINGTON,382,128,477,115,10,69.1,65.76666666666667,66.27272727272727,1795,170,1154,277,204,14,1925,1455
294,WISCONSIN,408,81,494,115,12,68.81428571428572,56.785714285714285,65.55714285714285,1649,144,1012,39,224,19,1918,1156
