team_id,total_epa,epa_per_play,def_total_epa,def_epa_per_play,passing_total_epa,passing_epa_per_play,def_passing_epa_total,def_passing_epa_per_play,rushing_total_epa,rushing_epa_per_play,def_rushing_total_epa,def_rushing_epa_per_play,firstdown_epa_per_play,def_firstdown_epa_per_play,seconddown_epa_per_play,def_seconddown_epa_per_play,thirddown_epa_per_play,def_thirddown_epa_per_play,fourthdown_epa_per_play,def_fourthdown_epa_per_play,redzone_total_epa,redzone_epa_per_play,def_redzone_total_epa,def_redzone_epa_per_play,past40_total_epa,past40_epa_per_play,def_past40_total_epa,def_past40_epa_per_play,total_penalty_epa,def_total_penalty_epa,timeout_total_epa,def_timeout_total_epa
187,300.071756848,0.12368992450453421,212.425628882,0.08409565672288204,187.567188676,0.21810138218139535,122.024688128,0.12790847812159328,131.32912382,0.11939011256363637,138.14340569,0.15281350186946904,0.159005763647482,0.10886048645247148,0.04936086180882353,0.09805025389595376,0.16259085715789473,0.2018829270756972,0.10059714513888889,-0.25461288555,135.278471256,0.3486558537525773,48.985482862000005,0.17494815307857145,128.495939966,0.14735772931880736,69.96004202,0.10600006366666667,-14.467964184,-23.523593092,-5.089852802,5.123763748
188,102.11926806,0.06406478548306148,-126.247296656,-0.071568762276644,56.990108438,0.09435448416887417,-139.82281375,-0.1721955834359606,45.758403091999995,0.07018159983435582,-32.634897116000005,-0.054210792551495024,0.016676891843085115,-0.08574205957360406,0.14829729350704227,0.07057469232793523,-0.0701314687593985,-0.07670756577160495,0.30039046033333333,-0.43476709121518986,59.016652570000005,0.2459027190416667,24.113540087999997,0.07679471365605095,48.923264648,0.08406059217869416,39.44754359,0.060502367469325156,-14.145022494,3.415183108,-1.1988926280000003,10.688888302
189,94.07756392,0.039897185716709076,51.59760980098429,0.021043070881314963,-68.65402084800002,-0.06428279105617979,-54.83160272799999,-0.05439643127777777,76.221054364,0.10556932737396121,111.315830646,0.13065238338732393,-0.03956881016257089,0.08953902312820514,0.12685059285932723,0.0292449,-0.08801892223188407,-0.03595006204378277,0.38543496183620696,-0.15441518849264707,33.383690376,0.12095539991304347,25.91967859,0.09323625392086331,45.78328385,0.06732835860294117,-8.665469227015722,-0.011741828220888512,33.675306565999996,-12.528025604,2.8155222439999994,1.663361166984278
190,-21.027508122,-0.10728320470408163,-45.865894841999996,-0.2364221383608247,-11.719402828,-0.14291954668292683,12.882720158,0.42942400526666663,4.396698462000001,0.11570259110526318,-57.294976824,-0.4275744539104478,-0.11972100033333333,-0.22494086982222222,0.08198477784000001,-0.13269161722222222,-0.2988368555263158,0.018582260875000034,-0.14775694926666666,-1.0583611986666666,6.659527868,0.3699737704444444,-12.098579234,-1.0082149361666668,9.383049048,0.3127683016,-24.306032289999997,-0.46742369788461535,-3.3713807079999993,-4.249015576,1.3460090819999992,0.722794648
191,198.42985156,0.10622583059957173,-325.0643182987453,-0.1766653903797529,78.25471028199999,0.13924325672953736,-194.818844906,-0.2676083034423077,83.753938602,0.0973883007,-151.23274751,-0.20218281752673797,0.010011478886046513,-0.18814370883232528,-0.0521673397586207,-0.13346806589312976,0.6699109423999999,-0.37763125591729324,0.01614355122891568,0.12710450129411766,37.638171918,0.16084688853846152,-79.398187282,-0.2940673603037037,87.830347872,0.1614528453529412,-107.563649736,-0.16912523543396227,-4.637976932000001,-30.095616708,0.017361784000000536,8.188422668000001
192,-145.960153998,-0.08646928554383887,83.686334308,0.049343357492924525,-68.043752822,-0.11340625470333333,21.125496782,0.03200832845757576,-77.453754956,-0.12026980583229813,38.741645934,0.06149467608571428,-0.05774997866384181,0.052083280435135125,-0.08993877416593886,0.14075130404347827,-0.1739315173292683,-0.0339048298366013,-0.03521480851546392,-0.048557974442105245,-21.521570552,-0.18238619111864407,29.455082815999997,0.11505891724999999,-111.52015272,-0.29978535677419355,59.536256848,0.10631474437142857,2.8939410980000004,9.485432232,-4.590718928,15.013992192
193,15.700791640000002,0.008626808593406594,-68.708692434,-0.036781955264453964,79.93113652,0.11965738999999999,-9.541160346000007,-0.011808366764851494,28.476638626000003,0.03955088698055556,-110.845932714,-0.1859831085805369,0.05776058627696078,0.058534349382716046,0.13389997690361446,-0.052217431318181816,-0.018493625088607593,-0.2624709588588235,-0.48563184069473686,0.003628496389473665,-66.356818684,-0.2086692411446541,-50.818748566000004,-0.25409374283,-85.76707474199999,-0.12995011324545452,-49.389636728000006,-0.09248995641947566,24.898551254,-28.749782236,-20.755481822,-0.35278589400000016
194,-131.32829783,-0.09069633828038674,9.756424774000005,0.006418700509210529,-121.063520766,-0.2004362926589404,-2.0756832980000004,-0.0037065773178571438,12.072301677999999,0.023305601694980693,-20.955506922000005,-0.030907827318584078,-0.03504096512337663,0.1442199868852941,-0.22639156078109451,-0.1345681196818182,-0.10294293911111113,-0.035963100069230744,0.0768585252394366,-0.1410913402142857,1.9677481920000008,0.010694283652173918,-52.320776142,-0.20279370597674418,-12.587636252000001,-0.030552515174757284,-12.747264975999997,-0.025596917622489952,26.140345284,-27.950044756,-5.303730434,-13.886680466
195,-111.28380684200002,-0.06114494881428573,-219.717705652,-0.11030005303815262,-59.616860402,-0.08373154550842697,-162.036791556,-0.23214440051002866,-45.078263008,-0.07294217315210356,-127.749307256,-0.1441865770383747,-0.04240382405210917,-0.0649049754736842,-0.03856236313733906,-0.2160147214390244,-0.12403521372093025,-0.15077060416167665,-0.08072622506862746,0.08038060393023254,-11.8936571,-0.0594682855,-128.867334796,-0.47031874013138686,-11.894154226000003,-0.028591716889423083,-61.054631944,-0.09139914961676647,-2.8833860240000004,30.560323892,-2.5246748560000003,1.9893848060000001
196,-112.609955738,-0.06319301668799102,165.926461808,0.08125683732027424,-10.102775438000002,-0.015590702836419756,-20.615128148000004,-0.02454181922380953,-27.291476682000003,-0.03698032070731708,85.34012657400001,0.10997438991494847,-0.08105466491794873,0.1232478973578199,-0.06263746784705883,-0.00018582280276815995,0.1589832255,-0.006472106434999996,-0.38455061226136367,0.29364311178181823,4.75436414,0.024762313229166666,-19.03587136,-0.06750308992907803,-68.38508365,-0.13568468978174603,49.31759623,0.07189153969387756,1.8306052040000003,-3.333644287999999,-18.532990056,18.212828698
